,location,trap_type,date_start,date_stop,count,days_off,year,month,doy,days_out
1,Bridgeville,CEW BLT,13/5/1998,15/5/1998,0,3,1998,5,133,2
2,Bridgeville,CEW Pheromone,13/5/1998,15/5/1998,0,3,1998,5,133,2
3,Georgetown,CEW BLT,13/5/1998,15/5/1998,0,3,1998,5,133,2
4,Greenwood,CEW BLT,13/5/1998,15/5/1998,0,3,1998,5,133,2
5,Greenwood,CEW Pheromone,13/5/1998,15/5/1998,0,3,1998,5,133,2
6,Laurel,CEW BLT,13/5/1998,15/5/1998,0,3,1998,5,133,2
7,Laurel,CEW Pheromone,13/5/1998,15/5/1998,0,3,1998,5,133,2
8,Milford,CEW BLT,13/5/1998,15/5/1998,0,3,1998,5,133,2
9,Milford,CEW Pheromone,13/5/1998,15/5/1998,0,3,1998,5,133,2
10,Seaford,CEW BLT,13/5/1998,15/5/1998,0,3,1998,5,133,2
11,Seaford,CEW Pheromone,13/5/1998,15/5/1998,0,3,1998,5,133,2
12,Bridgeville,CEW BLT,16/5/1998,18/5/1998,0.66,3,1998,5,136,2
13,Bridgeville,CEW Pheromone,16/5/1998,18/5/1998,0.7,3,1998,5,136,2
14,Georgetown,CEW BLT,16/5/1998,18/5/1998,0,3,1998,5,136,2
15,Greenwood,CEW BLT,16/5/1998,18/5/1998,0,3,1998,5,136,2
16,Greenwood,CEW Pheromone,16/5/1998,18/5/1998,0,3,1998,5,136,2
17,Laurel,CEW BLT,16/5/1998,18/5/1998,0,3,1998,5,136,2
18,Laurel,CEW Pheromone,16/5/1998,18/5/1998,0.33,3,1998,5,136,2
19,Milford,CEW BLT,16/5/1998,18/5/1998,0.33,3,1998,5,136,2
20,Milford,CEW Pheromone,16/5/1998,18/5/1998,0,3,1998,5,136,2
21,Seaford,CEW BLT,16/5/1998,18/5/1998,0,3,1998,5,136,2
22,Seaford,CEW Pheromone,16/5/1998,18/5/1998,0,3,1998,5,136,2
23,Bridgeville,CEW BLT,19/5/1998,20/5/1998,1,2,1998,5,139,1
24,Bridgeville,CEW Pheromone,19/5/1998,20/5/1998,1.5,2,1998,5,139,1
25,Georgetown,CEW BLT,19/5/1998,20/5/1998,0,2,1998,5,139,1
