BioSample,LibraryName,refGenome,Run,BioProject,fq1,fq2,lat,long
LL01,LL01,GCA_022581195.1,LL01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A01v1_LL01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A01v1_LL01_L002_R2_001.fastq.gz,38.502697,-75.516772
LL02,LL02,GCA_022581195.1,LL02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B01v1_LL02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B01v1_LL02_L002_R2_001.fastq.gz,38.502697,-75.516772
LL03,LL03,GCA_022581195.1,LL03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C01v1_LL03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_C01v1_LL03_L002_R2_001.fastq.gz,38.502697,-75.516772
LL04,LL04,GCA_022581195.1,LL04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D01v1_LL04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_D01v1_LL04_L002_R2_001.fastq.gz,38.502697,-75.516772
LH01,LH01,GCA_022581195.1,LH01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E01v1_LH01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_E01v1_LH01_L002_R2_001.fastq.gz,38.502697,-75.516772
LH02,LH02,GCA_022581195.1,LH02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F01v1_LH02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_F01v1_LH02_L002_R2_001.fastq.gz,38.502697,-75.516772
LH03,LH03,GCA_022581195.1,LH03,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G01v1_LH03_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_G01v1_LH03_L002_R2_001.fastq.gz,38.502697,-75.516772
LH04,LH04,GCA_022581195.1,LH04,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H01v1_LH04_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_H01v1_LH04_L002_R2_001.fastq.gz,38.502697,-75.516772
CL01,CL01,GCA_022581195.1,CL01,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A02v1_CL01_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_A02v1_CL01_L002_R2_001.fastq.gz,38.639386,-75.525808
CL02,CL02,GCA_022581195.1,CL02,NaN,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B02v1_CL02_L002_R1_001.fastq.gz,/gluster/inffs01/share_root/Lab/sequencing/published/20241217_LH00541_0061_A22TKTCLT3_SUB16442/fastq/P574_QTang_B02v1_CL02_L002_R2_001.fastq.gz,38.639386,-75.525808
